fund_name,country,region,major region,inception,quintile,aum_bn,aum_date,lat,long,type,cumulative score,"Leader, Finalist, Other",Disclosure 1A,Disclosure 1B,Intention 1A,Intention 1B,Clarity 1A,Clarity 1B,Integration 1A,Integration 1B,Implementation 1A,Implementation 1B,Commitment 1A,Commitment 1B,Accountability 1A,Accountability 1B,Partnership 1A,Partnership 1B,Standards 1A,Standards 1B,Development 1A,Development 1B
Abu Dhabi Investment Authority,UAE,MENA,EMEA,1976,3,828,2017,24.46011,54.32073,SWF,38,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Pass
Abu Dhabi Investment Council,UAE,MENA,EMEA,2007,4,110,2017,24.463327,54.388233,SWF,16,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass
Alabama Retirement Systems,USA,North America,Americas,1945,5,42,2017,32.37482,-86.29896,GPF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Alabama Trust Fund,USA,North America,Americas,1985,5,3,2017,32.378387,-86.302966,SWF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Alaska Permanent Fund,USA,North America,Americas,1976,3,61,2017,58.300703,-134.411838,SWF,28,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Pass
Alaska Retirement Management Board,USA,North America,Americas,1945,4,26,2018,58.29971,-134.41634,GPF,20,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Alberta Investment Management Corp. AIMco,Canada,North America,Americas,2008,1,96,2017,53.541086,-113.507377,SWF,100,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Alberta Teachers’ Retirement Fund,Canada,North America,Americas,1939,3,15,2017,53.55754,-113.56642,GPF,56,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Fail
AP Funds,Sweden,Europe,Europe,1960,1,177,2017,55.933995,12.354711,GPF,100,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
APG Groep,Netherlands,Europe,Europe,1922,1,565,2017,35.829387,127.134307,GPF,100,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Arizona State Retirement,USA,North America,Americas,1953,5,38,2017,32.22074,-110.89817,GPF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Arkansas Teachers Retirement System,USA,North America,Americas,1937,4,16,2018,34.74745,-92.28662,GPF,16,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ATP Group,Denmark,Europe,Europe,1968,1,119,2017,25.033029,121.517684,GPF,93,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail
Australian Super,Australia,Oceania,Asia,2006,1,120,2017,-37.813666,144.963378,GPF,100,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Bahrain Mumtalakat Holding Company,Bahrain,MENA,EMEA,2006,3,11,2017,26.249749,50.58321,SWF,52,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Pass
"Board of Regents, University of California",USA,North America,Americas,1933,1,110,2017,39.8316,116.28728,GPF,96,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
BPJS Ketenagakerjaan,Indonesia,Asia,Asia,1977,4,27,2018,-6.573442,106.796723,GPF,20,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail
British Coal Pension Schemes,UK,Europe,Europe,1947,2,12,2017,53.41326,-1.49965,GPF,72,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail
British Columbia Investment Management Corp.,Canada,North America,Americas,1999,1,108,2017,45.497497,-73.570959,GPF,100,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Bureau of Labor Funds,Taiwan,Asia,Asia,2014,2,112,2017,-34.598973,-58.377122,GPF,67,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Fail
Caisse de dépôt et placement du Québec,Canada,North America,Americas,1965,1,235,2017,48.859088,2.328057,GPF,100,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Caisse des Dépôts et Consignations,France,Europe,Europe,1865,1,231,2017,-25.785598,28.280397,SWF,100,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
